CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-600,Los Angeles County CoC,45-54,7262
2017,CA-600,Los Angeles County CoC,55-64,6223
2017,CA-600,Los Angeles County CoC,65+,1899
2017,CA-600,Los Angeles County CoC,Under 18,12410
2017,CA-600,Los Angeles County CoC,Unknown,797
2017,CA-601,San Diego County CoC,18-24,720
2017,CA-601,San Diego County CoC,25-34,1573
2017,CA-601,San Diego County CoC,35-44,1713
2017,CA-601,San Diego County CoC,45-54,2118
2017,CA-601,San Diego County CoC,55-64,2141
2017,CA-601,San Diego County CoC,65+,563
2017,CA-601,San Diego County CoC,Under 18,2775
2017,CA-601,San Diego County CoC,Unknown,140
2017,CA-602,Orange County CoC,18-24,547
2017,CA-602,Orange County CoC,25-34,1244
2017,CA-602,Orange County CoC,35-44,1195
2017,CA-602,Orange County CoC,45-54,1276
2017,CA-602,Orange County CoC,55-64,1056
2017,CA-602,Orange County CoC,65+,317
2017,CA-602,Orange County CoC,Under 18,2778
2017,CA-602,Orange County CoC,Unknown,2171
2017,CA-603,Santa Barbara County CoC,18-24,181
2017,CA-603,Santa Barbara County CoC,25-34,505
2017,CA-603,Santa Barbara County CoC,35-44,461
2017,CA-603,Santa Barbara County CoC,45-54,516
2017,CA-603,Santa Barbara County CoC,55-64,479
2017,CA-603,Santa Barbara County CoC,65+,174
2017,CA-603,Santa Barbara County CoC,Under 18,521
2017,CA-603,Santa Barbara County CoC,Unknown,30
2017,CA-604,Kern County CoC,18-24,357
2017,CA-604,Kern County CoC,25-34,717
2017,CA-604,Kern County CoC,35-44,552
2017,CA-604,Kern County CoC,45-54,550
2017,CA-604,Kern County CoC,55-64,339
2017,CA-604,Kern County CoC,65+,108
2017,CA-604,Kern County CoC,Under 18,1940
2017,CA-604,Kern County CoC,Unknown,108
2017,CA-606,Long Beach CoC (Los Angeles County),18-24,116
2017,CA-606,Long Beach CoC (Los Angeles County),25-34,372
2017,CA-606,Long Beach CoC (Los Angeles County),35-44,301
2017,CA-606,Long Beach CoC (Los Angeles County),45-54,429
2017,CA-606,Long Beach CoC (Los Angeles County),55-64,462
2017,CA-606,Long Beach CoC (Los Angeles County),65+,158
2017,CA-606,Long Beach CoC (Los Angeles County),Under 18,758
2017,CA-606,Long Beach CoC (Los Angeles County),Unknown,29
2017,CA-607,Pasadena CoC (Los Angeles County),18-24,83
2017,CA-607,Pasadena CoC (Los Angeles County),25-34,173
2017,CA-607,Pasadena CoC (Los Angeles County),35-44,210
2017,CA-607,Pasadena CoC (Los Angeles County),45-54,204
2017,CA-607,Pasadena CoC (Los Angeles County),55-64,143
2017,CA-607,Pasadena CoC (Los Angeles County),65+,48
2017,CA-607,Pasadena CoC (Los Angeles County),Under 18,447
2017,CA-607,Pasadena CoC (Los Angeles County),Unknown,17
2017,CA-608,Riverside County CoC,18-24,670
2017,CA-608,Riverside County CoC,25-34,1073
2017,CA-608,Riverside County CoC,35-44,1000
2017,CA-608,Riverside County CoC,45-54,1106
2017,CA-608,Riverside County CoC,55-64,838
2017,CA-608,Riverside County CoC,65+,262
2017,CA-608,Riverside County CoC,Under 18,1618
2017,CA-608,Riverside County CoC,Unknown,136
2017,CA-609,San Bernardino County CoC,18-24,595
2017,CA-609,San Bernardino County CoC,25-34,1217
2017,CA-609,San Bernardino County CoC,35-44,940
2017,CA-609,San Bernardino County CoC,45-54,706
2017,CA-609,San Bernardino County CoC,55-64,558
2017,CA-609,San Bernardino County CoC,65+,162
2017,CA-609,San Bernardino County CoC,Under 18,4109
2017,CA-609,San Bernardino County CoC,Unknown,148
2017,CA-611,Ventura County CoC,18-24,119
2017,CA-611,Ventura County CoC,25-34,303
2017,CA-611,Ventura County CoC,35-44,319
2017,CA-611,Ventura County CoC,45-54,340
2017,CA-611,Ventura County CoC,55-64,311
2017,CA-611,Ventura County CoC,65+,88
2017,CA-611,Ventura County CoC,Under 18,453
2017,CA-611,Ventura County CoC,Unknown,21
2017,CA-612,Glendale CoC (Los Angeles County),18-24,13
2017,CA-612,Glendale CoC (Los Angeles County),25-34,49
2017,CA-612,Glendale CoC (Los Angeles County),35-44,34
2017,CA-612,Glendale CoC (Los Angeles County),45-54,51
2017,CA-612,Glendale CoC (Los Angeles County),55-64,47
2017,CA-612,Glendale CoC (Los Angeles County),65+,22
2017,CA-612,Glendale CoC (Los Angeles County),Under 18,125
2017,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2017,CA-613,Imperial County CoC,18-24,43
2017,CA-613,Imperial County CoC,25-34,90
2017,CA-613,Imperial County CoC,35-44,83
2017,CA-613,Imperial County CoC,45-54,86
2017,CA-613,Imperial County CoC,55-64,76
2017,CA-613,Imperial County CoC,65+,48
2017,CA-613,Imperial County CoC,Under 18,70
2017,CA-613,Imperial County CoC,Unknown,*
2017,CA-614,San Luis Obispo County CoC,18-24,133
2017,CA-614,San Luis Obispo County CoC,25-34,336
2017,CA-614,San Luis Obispo County CoC,35-44,243
2017,CA-614,San Luis Obispo County CoC,45-54,214
2017,CA-614,San Luis Obispo County CoC,55-64,191
2017,CA-614,San Luis Obispo County CoC,65+,72
2017,CA-614,San Luis Obispo County CoC,Under 18,497
2017,CA-614,San Luis Obispo County CoC,Unknown,34
2018,All,California,18-24,16485
2018,All,California,25-34,30188
2018,All,California,35-44,26844
2018,All,California,45-54,27489
2018,All,California,55-64,24738
2018,All,California,65+,8009
2018,All,California,Under 18,56054
2018,All,California,Unknown,5670
2018,CA-500,Santa Clara County CoC,18-24,884
2018,CA-500,Santa Clara County CoC,25-34,1629
2018,CA-500,Santa Clara County CoC,35-44,1577
2018,CA-500,Santa Clara County CoC,45-54,1792
2018,CA-500,Santa Clara County CoC,55-64,1731
2018,CA-500,Santa Clara County CoC,65+,546
2018,CA-500,Santa Clara County CoC,Under 18,2555
2018,CA-500,Santa Clara County CoC,Unknown,171
2018,CA-501,San Francisco CoC,18-24,616
2018,CA-501,San Francisco CoC,25-34,803
2018,CA-501,San Francisco CoC,35-44,744
2018,CA-501,San Francisco CoC,45-54,695
2018,CA-501,San Francisco CoC,55-64,587
2018,CA-501,San Francisco CoC,65+,206
2018,CA-501,San Francisco CoC,Under 18,1915
2018,CA-501,San Francisco CoC,Unknown,166
2018,CA-502,Alameda County CoC,18-24,689
2018,CA-502,Alameda County CoC,25-34,928
2018,CA-502,Alameda County CoC,35-44,830
2018,CA-502,Alameda County CoC,45-54,953
2018,CA-502,Alameda County CoC,55-64,935
2018,CA-502,Alameda County CoC,65+,350
2018,CA-502,Alameda County CoC,Under 18,1815
2018,CA-502,Alameda County CoC,Unknown,116
2018,CA-503,Sacramento County CoC,18-24,984
2018,CA-503,Sacramento County CoC,25-34,1513
2018,CA-503,Sacramento County CoC,35-44,1453
2018,CA-503,Sacramento County CoC,45-54,1511
2018,CA-503,Sacramento County CoC,55-64,1196
2018,CA-503,Sacramento County CoC,65+,319
2018,CA-503,Sacramento County CoC,Under 18,3876
2018,CA-503,Sacramento County CoC,Unknown,178
2018,CA-504,Sonoma County CoC,18-24,282
2018,CA-504,Sonoma County CoC,25-34,464
2018,CA-504,Sonoma County CoC,35-44,498
2018,CA-504,Sonoma County CoC,45-54,507
2018,CA-504,Sonoma County CoC,55-64,505
2018,CA-504,Sonoma County CoC,65+,201
2018,CA-504,Sonoma County CoC,Under 18,771
2018,CA-504,Sonoma County CoC,Unknown,42
2018,CA-505,Contra Costa County CoC,18-24,387
2018,CA-505,Contra Costa County CoC,25-34,1009
2018,CA-505,Contra Costa County CoC,35-44,928
2018,CA-505,Contra Costa County CoC,45-54,1002
2018,CA-505,Contra Costa County CoC,55-64,988
2018,CA-505,Contra Costa County CoC,65+,373
2018,CA-505,Contra Costa County CoC,Under 18,1142
2018,CA-505,Contra Costa County CoC,Unknown,63
2018,CA-506,"Monterey, San Benito Counties CoC",18-24,158
2018,CA-506,"Monterey, San Benito Counties CoC",25-34,380
2018,CA-506,"Monterey, San Benito Counties CoC",35-44,351
2018,CA-506,"Monterey, San Benito Counties CoC",45-54,321
2018,CA-506,"Monterey, San Benito Counties CoC",55-64,323
2018,CA-506,"Monterey, San Benito Counties CoC",65+,125
2018,CA-506,"Monterey, San Benito Counties CoC",Under 18,862
2018,CA-506,"Monterey, San Benito Counties CoC",Unknown,42
2018,CA-507,Marin County CoC,18-24,75
2018,CA-507,Marin County CoC,25-34,226
2018,CA-507,Marin County CoC,35-44,213
2018,CA-507,Marin County CoC,45-54,260
2018,CA-507,Marin County CoC,55-64,234
2018,CA-507,Marin County CoC,65+,101
2018,CA-507,Marin County CoC,Under 18,233
2018,CA-507,Marin County CoC,Unknown,12
2018,CA-508,Santa Cruz County CoC,18-24,100
2018,CA-508,Santa Cruz County CoC,25-34,283
2018,CA-508,Santa Cruz County CoC,35-44,281
2018,CA-508,Santa Cruz County CoC,45-54,310
2018,CA-508,Santa Cruz County CoC,55-64,299
2018,CA-508,Santa Cruz County CoC,65+,118
2018,CA-508,Santa Cruz County CoC,Under 18,456
2018,CA-508,Santa Cruz County CoC,Unknown,71
2018,CA-509,Mendocino County CoC,18-24,61
2018,CA-509,Mendocino County CoC,25-34,95
2018,CA-509,Mendocino County CoC,35-44,108
2018,CA-509,Mendocino County CoC,45-54,107
2018,CA-509,Mendocino County CoC,55-64,101
2018,CA-509,Mendocino County CoC,65+,39
2018,CA-509,Mendocino County CoC,Under 18,62
2018,CA-509,Mendocino County CoC,Unknown,25
2018,CA-510,Stanislaus County CoC,18-24,526
2018,CA-510,Stanislaus County CoC,25-34,1054
2018,CA-510,Stanislaus County CoC,35-44,928
2018,CA-510,Stanislaus County CoC,45-54,745
2018,CA-510,Stanislaus County CoC,55-64,580
2018,CA-510,Stanislaus County CoC,65+,158
2018,CA-510,Stanislaus County CoC,Under 18,2132
2018,CA-510,Stanislaus County CoC,Unknown,89
2018,CA-511,San Joaquin County CoC,18-24,886
2018,CA-511,San Joaquin County CoC,25-34,1862
2018,CA-511,San Joaquin County CoC,35-44,1410
2018,CA-511,San Joaquin County CoC,45-54,1136
2018,CA-511,San Joaquin County CoC,55-64,829
2018,CA-511,San Joaquin County CoC,65+,267
2018,CA-511,San Joaquin County CoC,Under 18,4362
2018,CA-511,San Joaquin County CoC,Unknown,208
2018,CA-512,San Mateo County CoC,18-24,281
2018,CA-512,San Mateo County CoC,25-34,669
2018,CA-512,San Mateo County CoC,35-44,632
2018,CA-512,San Mateo County CoC,45-54,671
2018,CA-512,San Mateo County CoC,55-64,595
2018,CA-512,San Mateo County CoC,65+,216
2018,CA-512,San Mateo County CoC,Under 18,1215
2018,CA-512,San Mateo County CoC,Unknown,71
2018,CA-513,"Kings, Tulare Counties CoC",18-24,272
2018,CA-513,"Kings, Tulare Counties CoC",25-34,542
2018,CA-513,"Kings, Tulare Counties CoC",35-44,576
2018,CA-513,"Kings, Tulare Counties CoC",45-54,435
2018,CA-513,"Kings, Tulare Counties CoC",55-64,267
2018,CA-513,"Kings, Tulare Counties CoC",65+,76
2018,CA-513,"Kings, Tulare Counties CoC",Under 18,787
2018,CA-513,"Kings, Tulare Counties CoC",Unknown,42
2018,CA-514,"Fresno, Madera Counties CoC",18-24,229
2018,CA-514,"Fresno, Madera Counties CoC",25-34,334
2018,CA-514,"Fresno, Madera Counties CoC",35-44,341
2018,CA-514,"Fresno, Madera Counties CoC",45-54,409
2018,CA-514,"Fresno, Madera Counties CoC",55-64,394
2018,CA-514,"Fresno, Madera Counties CoC",65+,110
2018,CA-514,"Fresno, Madera Counties CoC",Under 18,585
2018,CA-514,"Fresno, Madera Counties CoC",Unknown,37
2018,CA-515,Placer County CoC,18-24,88
2018,CA-515,Placer County CoC,25-34,250
2018,CA-515,Placer County CoC,35-44,251
2018,CA-515,Placer County CoC,45-54,272
2018,CA-515,Placer County CoC,55-64,219
2018,CA-515,Placer County CoC,65+,72
2018,CA-515,Placer County CoC,Under 18,333
2018,CA-515,Placer County CoC,Unknown,14
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,34
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,110
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,97
